Date,Open,High,Low,Close,Adj Close,Volume
2009-08-03,52.0,52.0,52.0,52.0,52.0,0
2009-08-04,52.0,52.0,52.0,52.0,52.0,0
2009-08-05,52.0,52.0,52.0,52.0,52.0,0
2009-08-06,52.0,52.0,52.0,52.0,52.0,0
2009-08-07,52.0,52.0,52.0,52.0,52.0,0
2009-08-10,52.0,52.0,52.0,52.0,52.0,0
2009-08-11,52.0,52.0,52.0,52.0,52.0,0
2009-08-13,52.0,52.0,52.0,52.0,52.0,0
2009-08-14,52.0,52.0,52.0,52.0,52.0,0
2009-08-17,52.0,52.0,52.0,52.0,52.0,0
2009-08-18,52.0,52.0,52.0,52.0,52.0,0
2009-08-19,52.0,52.0,52.0,52.0,52.0,0
2009-08-20,52.0,52.0,52.0,52.0,52.0,0
2009-08-21,52.0,52.0,52.0,52.0,52.0,0
2009-08-24,52.0,52.0,52.0,52.0,52.0,0
2009-08-25,52.0,52.0,52.0,52.0,52.0,0
2009-08-26,52.0,52.0,52.0,52.0,52.0,0
2009-08-27,52.0,52.0,52.0,52.0,52.0,0
2009-08-28,52.0,52.0,52.0,52.0,52.0,0
2009-08-31,52.0,52.0,52.0,52.0,52.0,0
2009-09-01,52.0,52.0,52.0,52.0,52.0,0
2009-09-02,52.0,52.0,52.0,52.0,52.0,0
2009-09-03,52.0,52.0,52.0,52.0,52.0,0
2009-09-04,52.0,52.0,52.0,52.0,52.0,0
2009-09-07,52.0,52.0,52.0,52.0,52.0,0
2009-09-08,52.0,52.0,52.0,52.0,52.0,0
2009-09-09,52.0,52.0,52.0,52.0,52.0,0
2009-09-10,52.0,52.0,52.0,52.0,52.0,0
2009-09-11,52.0,52.0,52.0,52.0,52.0,0
2009-09-14,52.0,52.0,52.0,52.0,52.0,0
2009-09-15,52.0,52.0,52.0,52.0,52.0,0
2009-09-16,52.0,52.0,52.0,52.0,52.0,0
2009-09-17,52.0,52.0,52.0,52.0,52.0,0
2009-09-18,52.0,52.0,52.0,52.0,52.0,0
2009-09-21,52.0,52.0,52.0,52.0,52.0,0
2009-09-22,52.0,52.0,52.0,52.0,52.0,0
2009-09-23,52.0,52.0,52.0,52.0,52.0,0
2009-09-24,52.0,52.0,52.0,52.0,52.0,0
2009-09-25,52.0,52.0,52.0,52.0,52.0,0
2009-09-28,52.0,52.0,52.0,52.0,52.0,0
2009-09-29,52.0,52.0,52.0,52.0,52.0,0
2009-09-30,52.0,52.0,52.0,52.0,52.0,0
2009-10-01,52.0,52.0,52.0,52.0,52.0,0
2009-10-02,52.0,52.0,52.0,52.0,52.0,0
2009-10-05,52.0,52.0,52.0,52.0,52.0,0
2009-10-06,52.0,52.0,52.0,52.0,52.0,0
2009-10-07,52.0,52.0,52.0,52.0,52.0,0
2009-10-08,52.0,52.0,52.0,52.0,52.0,0
2009-10-09,52.0,52.0,52.0,52.0,52.0,0
2009-10-12,52.0,52.0,52.0,52.0,52.0,0
2009-10-13,52.0,52.0,52.0,52.0,52.0,0
2009-10-14,52.0,52.0,52.0,52.0,52.0,0
2009-10-15,52.0,52.0,52.0,52.0,52.0,0
2009-10-16,52.0,52.0,52.0,52.0,52.0,0
2009-10-19,52.0,52.0,52.0,52.0,52.0,0
2009-10-20,52.0,52.0,52.0,52.0,52.0,0
2009-10-21,52.0,52.0,52.0,52.0,52.0,0
2009-10-22,52.0,52.0,52.0,52.0,52.0,0
2009-10-26,52.0,52.0,52.0,52.0,52.0,0
2009-10-27,52.0,52.0,52.0,52.0,52.0,0
2009-10-28,52.0,52.0,52.0,52.0,52.0,0
2009-10-29,52.0,52.0,52.0,52.0,52.0,0
2009-10-30,52.0,52.0,52.0,52.0,52.0,0
