Date,Open,High,Low,Close,Adj Close,Volume
2011-01-13,14.643345832824707,14.643345832824707,9.85985279083252,9.957474708557129,5.890301704406738,641963
2011-01-14,9.957474708557129,9.957474708557129,9.85985279083252,9.957474708557129,5.890301704406738,314477
2011-01-17,9.85985279083252,9.85985279083252,9.85985279083252,9.85985279083252,5.832554340362549,361085
2011-01-18,9.85985279083252,9.85985279083252,9.85985279083252,9.85985279083252,5.832554340362549,69963
2011-01-19,9.76223087310791,9.85985279083252,9.76223087310791,9.85985279083252,5.832554340362549,54803
2011-01-20,9.76223087310791,9.85985279083252,9.713418960571289,9.76223087310791,5.774805545806885,589004
2011-01-21,9.76223087310791,9.85985279083252,9.76223087310791,9.76223087310791,5.774805545806885,82563
2011-01-24,9.76223087310791,9.76223087310791,9.713418960571289,9.713418960571289,5.745931148529053,241748
2011-01-25,9.76223087310791,9.76223087310791,9.713418960571289,9.713418960571289,5.745931148529053,101820
2011-01-26,9.713418960571289,9.76223087310791,9.713418960571289,9.76223087310791,5.774805545806885,155599
2011-01-27,9.76223087310791,9.76223087310791,9.664608001708984,9.664608001708984,5.717057228088379,307409
2011-01-28,9.713418960571289,9.713418960571289,9.713418960571289,9.713418960571289,5.745931148529053,51217
2011-01-31,9.713418960571289,9.713418960571289,9.713418960571289,9.713418960571289,5.745931148529053,141565
2011-02-01,9.713418960571289,9.713418960571289,9.664608001708984,9.713418960571289,5.745931148529053,12497
2011-02-02,9.713418960571289,9.713418960571289,9.664608001708984,9.713418960571289,5.745931148529053,58183
2011-02-03,9.713418960571289,9.76223087310791,9.713418960571289,9.76223087310791,5.774805545806885,20589
2011-02-04,9.76223087310791,9.76223087310791,9.713418960571289,9.713418960571289,5.745931148529053,9219
2011-02-07,9.76223087310791,9.76223087310791,9.713418960571289,9.713418960571289,5.745931148529053,7887
2011-02-08,9.664608001708984,9.713418960571289,9.664608001708984,9.713418960571289,5.745931148529053,108684
2011-02-09,9.713418960571289,9.713418960571289,9.713418960571289,9.713418960571289,5.745931148529053,6863
2011-02-10,9.713418960571289,9.76223087310791,9.664608001708984,9.664608001708984,5.717057228088379,27350
2011-02-11,9.713418960571289,9.713418960571289,9.664608001708984,9.713418960571289,5.745931148529053,28681
