,Period as of,Y/E 2020 31 Dec 2020,Y/E 2021 31 Dec 2021,Y/E 2022 31 Dec 2022,Y/E 2023 31 Dec 2023
0,Financial Data,,,,
1,Assets,3976.23,4152.27,5068.89,5225.22
2,Liabilities,3515.81,1061.59,1762.91,1762.51
3,Equity,221.01,2837.66,3049.45,3218.35
4,Paid-up Capital,360.00,480.0,480.0,480.0
5,Revenue,4435.67,4391.09,5603.98,6049.43
6,Profit (Loss) from Other Activities,-,102.67,-25.42,-34.84
7,Net Profit,93.82,437.17,515.72,635.78
8,EPS (Baht),0.13,0.53,0.54,0.66
9,Financial Ratio,,,,
10,ROA (%),4.39,13.48,14.11,15.38
11,ROE (%),42.45,28.59,17.52,20.29
12,Net Profit Margin (%),1.67,9.6,9.13,10.45
