,Period as of,Y/E 2020 30 Sep 2020,Y/E 2021 30 Sep 2021,Y/E 2022 30 Sep 2022,Y/E 2023 30 Sep 2023,Q1/2024 31 Dec 2023
0,Financial Data,,,,,
1,Assets,173558.57,195085.77,183812.92,195611.09,194347.57
2,Liabilities,30526.9,81664.39,81294.32,83432.9,77584.12
3,Equity,142235.58,112343.77,101323.97,110464.78,114930.83
4,Paid-up Capital,14285.7,14285.7,14285.7,14285.7,14285.7
5,Revenue,33129.95,7715.73,16992.5,48435.31,15769.85
6,Profit (Loss) from Other Activities,145.56,-51.08,258.17,-8.37,5.32
7,Net Profit,4320.68,-16322.01,-11087.87,8790.87,4563.03
8,EPS (Baht),0.3,-1.14,-0.78,0.62,0.32
9,Financial Ratio,,,,,
10,ROA (%),3.22,-9.53,-5.77,7.48,10.32
11,ROE (%),2.92,-12.82,-10.38,8.3,12.01
12,Net Profit Margin (%),12.97,-212.19,-64.59,18.73,29.69
