Symbol,open,high,low,last,change,per_change,bid,offer,volume,value
PTTEP,150.0,152.0,150.0,152.0,1.5,1.0,152.0,152.5,12902012,1952829.64
PTTGC,35.75,35.75,35.0,35.75,0.0,0.0,35.5,35.75,11557189,410174.73
RATCH,28.5,29.0,28.5,28.75,0.25,0.88,28.5,28.75,1989032,57143.35
RBF  XD,10.5,10.9,10.4,10.7,0.2,1.9,10.6,10.7,6027505,64373.93
RCL,20.6,20.9,20.4,20.5,0.1,0.49,20.4,20.5,3345857,68987.83
SAPPE,97.0,97.0,94.25,94.5,-1.0,-1.05,94.5,95.0,432658,41094.18
SAWAD,40.5,41.0,39.75,40.0,-0.5,-1.23,40.0,40.25,6167770,248450.7
SCB,106.5,106.5,105.0,106.0,0.0,0.0,106.0,106.5,6318880,668711.13
SCC,249.0,251.0,248.0,251.0,4.0,1.62,250.0,251.0,1224096,305976.12
SCGP,32.25,32.5,31.75,32.0,0.0,0.0,32.0,32.25,2104804,67581.7
SIRI,1.7,1.7,1.68,1.69,0.0,0.0,1.68,1.69,34984386,58937.64
SISB,39.0,39.0,38.0,38.25,-0.75,-1.92,38.25,38.5,672014,25791.55
SJWD,14.7,14.9,14.5,14.5,-0.1,-0.68,14.5,14.7,2219404,32582.3
SNNP,16.8,17.0,16.7,16.8,0.0,0.0,16.8,16.9,1111714,18684.96
SPALI,19.9,20.1,19.8,20.1,0.2,1.01,20.0,20.1,7589647,151247.18
SPRC,7.75,7.85,7.7,7.85,0.1,1.29,7.8,7.85,13206526,102989.86
STA,16.9,17.1,16.7,16.8,0.0,0.0,16.7,16.8,5630441,95067.72
STGT,9.1,9.2,8.85,8.9,-0.15,-1.66,8.9,8.95,3875036,34877.68
TASCO,16.3,16.3,16.2,16.3,0.0,0.0,16.2,16.3,1355512,22039.36
TCAP,49.25,49.25,49.0,49.0,0.0,0.0,49.0,49.25,403497,19782.94
THG,39.5,39.5,38.5,39.25,0.0,0.0,39.0,39.25,136636,5323.08
TIDLOR,21.0,21.5,20.9,21.5,0.7,3.37,21.4,21.5,19060860,407540.51
TISCO,96.5,96.75,96.5,96.75,0.25,0.26,96.5,96.75,1850322,178926.96
TKN,10.4,10.5,10.2,10.3,0.0,0.0,10.2,10.3,4743977,48995.0
TLI,9.3,9.35,9.2,9.3,0.05,0.54,9.3,9.35,21139005,196190.19
TOA,25.25,25.5,25.0,25.25,0.0,0.0,25.0,25.25,1827982,46087.13
TOP,53.25,54.25,53.25,54.0,0.75,1.41,53.75,54.0,11752585,631685.53
TRUE,8.05,8.15,8.0,8.15,0.1,1.24,8.1,8.15,69117366,557905.8
TTB,1.77,1.77,1.74,1.76,0.0,0.0,1.75,1.76,401476536,703701.85
TU,15.1,15.2,14.8,14.9,-0.1,-0.67,14.9,15.0,21407369,320114.4
VGI,1.8,1.86,1.75,1.77,0.0,0.0,1.77,1.78,298415067,538360.12
WHA,5.1,5.15,5.05,5.1,0.0,0.0,5.1,5.15,44048591,224582.8
